mode,date,tap,time,count
bus,20160730,off,10:45,7787
bus,20160730,off,05:15,259
bus,20160730,off,20:00,3153
bus,20160730,off,12:30,8769
bus,20160730,off,07:00,1675
bus,20160730,off,14:15,8525
bus,20160730,off,08:45,5648
bus,20160730,off,23:45,1464
bus,20160730,off,-1,18725
bus,20160730,off,13:15,8661
bus,20160730,off,11:45,8486
bus,20160730,off,22:45,2197
bus,20160730,off,05:00,234
bus,20160730,off,16:15,8515
bus,20160730,off,01:15,538
bus,20160730,off,14:00,8238
bus,20160730,off,21:15,2445
bus,20160730,off,07:30,2620
bus,20160730,off,06:30,1348
bus,20160730,off,01:00,630
bus,20160730,off,15:00,7849
bus,20160730,off,16:00,8351
bus,20160730,off,23:15,1746
bus,20160730,off,12:15,8476
bus,20160730,off,21:00,2307
bus,20160730,off,04:30,203
bus,20160730,off,05:30,381
bus,20160730,off,03:15,512
bus,20160730,off,14:30,8528
bus,20160730,off,18:15,7447
bus,20160730,off,06:45,1675
bus,20160730,off,19:00,5463
bus,20160730,off,12:00,8148
bus,20160730,off,09:45,7134
bus,20160730,off,23:00,1872
bus,20160730,off,00:45,793
bus,20160730,off,04:00,386
bus,20160730,off,17:30,8328
bus,20160730,off,10:15,7083
bus,20160730,off,08:30,5341
bus,20160730,off,03:00,459
bus,20160730,off,21:30,2466
bus,20160730,off,15:45,8681
bus,20160730,off,18:00,7489
bus,20160730,off,20:30,2742
bus,20160730,off,19:15,4852
bus,20160730,off,08:00,3492
bus,20160730,off,02:00,443
bus,20160730,off,13:45,8216
bus,20160730,off,17:00,8404
bus,20160730,off,09:30,6730
bus,20160730,off,22:30,2220
bus,20160730,off,04:15,319
bus,20160730,off,03:30,352
bus,20160730,off,10:00,6699
bus,20160730,off,18:30,6844
bus,20160730,off,20:45,2516
bus,20160730,off,07:45,3502
bus,20160730,off,06:00,751
bus,20160730,off,05:45,647
bus,20160730,off,08:15,4224
bus,20160730,off,11:00,7895
bus,20160730,off,02:15,496
bus,20160730,off,22:00,2228
bus,20160730,off,17:15,8246
bus,20160730,off,10:30,7701
bus,20160730,off,15:30,8453
bus,20160730,off,14:45,8850
bus,20160730,off,00:30,858
bus,20160730,off,19:30,4168
bus,20160730,off,06:15,1065
bus,20160730,off,01:45,507
bus,20160730,off,16:45,8591
bus,20160730,off,11:15,8119
bus,20160730,off,09:15,5746
bus,20160730,off,22:15,2170
bus,20160730,off,21:45,2002
bus,20160729,on,02:30,445
bus,20160729,on,13:30,10447
bus,20160729,on,15:15,28883
bus,20160729,on,12:45,9529
bus,20160729,on,00:00,1131
bus,20160729,on,16:30,17343
bus,20160729,on,04:45,645
bus,20160729,on,03:45,167
bus,20160729,on,19:45,4780
bus,20160729,on,01:30,469
bus,20160729,on,07:15,22454
bus,20160729,on,09:00,15059
bus,20160729,on,18:45,9735
bus,20160729,on,11:30,9420
bus,20160729,on,20:15,4034
bus,20160729,on,00:15,899
bus,20160729,on,13:00,10350
bus,20160729,on,02:45,274
bus,20160729,on,23:30,1257
bus,20160729,on,17:45,17775
bus,20160729,on,10:45,9042
bus,20160729,on,05:15,1891
bus,20160729,on,20:00,4601
bus,20160729,on,12:30,9820
bus,20160729,on,07:00,16080
bus,20160729,on,14:15,11762
bus,20160729,on,08:45,18027
bus,20160729,on,23:45,1239
bus,20160729,on,-1,238
bus,20160729,on,13:15,10407
bus,20160729,on,11:45,9101
bus,20160729,on,22:45,2177
bus,20160729,on,05:00,1185
bus,20160729,on,16:15,17477
bus,20160729,on,01:15,443
bus,20160729,on,14:00,11452
bus,20160729,on,21:15,3063
bus,20160729,on,07:30,29919
bus,20160729,on,06:30,8717
bus,20160729,on,01:00,494
bus,20160729,on,15:00,26480
bus,20160729,on,16:00,17606
bus,20160729,on,23:15,1781
bus,20160729,on,12:15,9895
bus,20160729,on,21:00,3471
bus,20160729,on,04:30,341
bus,20160729,on,05:30,2733
bus,20160729,on,03:15,319
bus,20160729,on,14:30,14181
bus,20160729,on,18:15,14673
bus,20160729,on,06:45,11093
bus,20160729,on,19:00,8359
bus,20160729,on,12:00,9720
bus,20160729,on,09:45,10134
bus,20160729,on,23:00,1860
bus,20160729,on,00:45,502
bus,20160729,on,04:00,166
bus,20160729,on,17:30,18963
bus,20160729,on,10:15,9907
bus,20160729,on,08:30,26156
bus,20160729,on,03:00,345
bus,20160729,on,21:30,2889
bus,20160729,on,15:45,20547
bus,20160729,on,18:00,16415
bus,20160729,on,20:30,3710
bus,20160729,on,19:15,6905
bus,20160729,on,08:00,36073
bus,20160729,on,02:00,487
bus,20160729,on,13:45,10236
bus,20160729,on,17:00,19361
bus,20160729,on,09:30,11646
bus,20160729,on,22:30,2291
bus,20160729,on,04:15,73
bus,20160729,on,03:30,287
bus,20160729,on,10:00,10025
bus,20160729,on,18:30,11601
bus,20160729,on,20:45,3368
bus,20160729,on,07:45,35171
bus,20160729,on,06:00,5201
bus,20160729,on,05:45,3843
bus,20160729,on,08:15,31839
bus,20160729,on,11:00,9775
bus,20160729,on,02:15,350
bus,20160729,on,22:00,2686
bus,20160729,on,17:15,19591
bus,20160729,on,10:30,9759
bus,20160729,on,15:30,26472
bus,20160729,on,14:45,16354
bus,20160729,on,00:30,631
bus,20160729,on,19:30,5418
bus,20160729,on,06:15,6560
bus,20160729,on,01:45,401
bus,20160729,on,16:45,17159
bus,20160729,on,11:15,9687
bus,20160729,on,09:15,12798
bus,20160729,on,22:15,2893
bus,20160729,on,21:45,2964
bus,20160729,off,02:30,369
bus,20160729,off,13:30,9961
bus,20160729,off,15:15,20257
bus,20160729,off,12:45,9639
bus,20160729,off,00:00,1086
bus,20160729,off,16:30,16283
bus,20160729,off,04:45,395
bus,20160729,off,03:45,291
bus,20160729,off,19:45,5444
bus,20160729,off,01:30,423
bus,20160729,off,07:15,12924
bus,20160729,off,09:00,18372
